CPB;TITULO_ORIGINAL;DIRETOR;PAIS_DIRETOR
B0300035200000;EVANDRO TEIXEIRA - INSTANTÂNEOS DA REALIDADE;PAULO DE MORAES FONTENELLE;BRASIL
B0300035300000;A ILHA;WALTER HUGO KHOURI;Não Informado
B0300035400000;ANGELA;TOM PAYNE;Não Informado
B0300035500000;APASSIONATA;FERNANDO DE BARROS;Não Informado
B0300035600000;AMOROSAS, AS;WALTER HUGO KHOURI;Não Informado
B0300035700000;CAIÇARA;ADOLFO CELI;Não Informado
B0300035800000;CANDINHO;ABÍLIO PEREIRA DE ALMEIDA;Não Informado
B0300035900000;CORPO ARDENTE;WALTER HUGO KHOURI;Não Informado
B0300036000000;É PROIBIDO BEIJAR;UGO LOMBARDI;Não Informado
B0300036100000;ESQUINA DA ILUSÃO;RUGGERO JACOBBI;Não Informado
B0300036200000;ESTRANHO ENCONTRO;WALTER HUGO KHOURI;Não Informado
B0300036300000;FAMÍLIA LERO-LERO;ALBERTO PIERALISI;Não Informado
B0300036400000;FLORADAS NA SERRA;LUCIANO SALCE;Não Informado
B0300036500000;GATO DE MADAME;AGOSTINHO MARTINS PEREIRA;PORTUGAL
B0300036600000;GRANDE SERTÃO VEREDAS;GERALDO E RENATO DOS SANTOS PEREIRA;Não Informado
B0300036700000;LUZ APAGADA;CARLOS THIRÉ;Não Informado
B0300036800000;NA SENDA DO CRIME;FLAMINIO BOLLINI CERRI;Não Informado
B0300036900000;NADANDO EM DINHEIRO;CARLOS THIRÉ;Não Informado
B0300037000000;NOITE VAZIA;WALTER HUGO KHOURI;Não Informado
B0300037100000;CANGACEIRO, O;LIMA BARRETO;Não Informado
B0300037200000;HOMEM DAS ENCRENCAS (IMITANDO O SOL), O;GERALDO VIETRI;Não Informado
B0300037300000;SOBRADO, O;CASSIANO GABUS MENDES;BRASIL
B0300037300000;SOBRADO, O;WALTER GEORGE DURST;BRASIL
B0300037400000;OSSO AMOR E PAPAGAIOS;CARLOS ALBERTO DE SOUZA BARROS;BRASIL
B0300037400000;OSSO AMOR E PAPAGAIOS;CÉSAR MÊMOLO JÚNIOR;BRASIL
B0300037500000;PAINEL;LIMA BARRETO;Não Informado
B0300037600000;PAIXÃO DE GAÚCHO;WALTER G. DURST;Não Informado
B0300037700000;PALÁCIO DOS ANJOS;WALTER HUGO KHOURI;Não Informado
B0300037800000;PINDORAMA;ARNALDO JABOR;BRASIL
B0300037900000;RAVINA;RUBEM BIÁFORA;Não Informado
B0300038000000;REBELIÃO EM VILA RICA;JOSE GERALDO SANTOS PEREIRA;BRASIL
B0300038000000;REBELIÃO EM VILA RICA;JOSÉ RENATO SANTOS PEREIRA;BRASIL
B0300038100000;SAI DA FRENTE;TOM PAYNE;Não Informado
B0300038200000;SÃO PAULO EM FESTA;LIMA BARRETO;Não Informado
B0300038300000;SILÊNCIO BRANCO;GERALDO JUNQUEIRA DE OLIVEIRA;Não Informado
B0300038400000;SINHÁ MOÇA;TOM PAYNE;Não Informado
B0300038500000;TERRA É SEMPRE TERRA;TOM PAYNE;Não Informado
B0300038600000;TICO-TICO NO FUBÁ;ADOLFO CELI;Não Informado
B0300038700000;UM ANJO MAU;ROBERTO SANTOS PINHANEZ;BRASIL
B0300038800000;UM CERTO CAPITÃO RODRIGO;ANSELMO DUARTE;Não Informado
B0300038900000;UMA PULGA NA BALANÇA;LUCIANO SALCE;Não Informado
B0300039000000;VENENO;GIANNI PONS;Não Informado
B0300039100000;VERÃO DE FOGO;PIERRE KALFON;Não Informado
B0300039200000;NEM TUDO É VERDADE;ROGERIO SGANZERIA;BRASIL
B0300039300000;SIGNO DO CAOS, O;ROGERIO SGANZERIA;BRASIL
B0300039800000;CONCERTO CAMPESTRE;HENRIQUE FORSTER DE FREITAS LIMA;BRASIL
B0300039900000;ALEGRES COMADRES, AS;LEILA MARTINS;BRASIL
